state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,0
California,1
Colorado,1
Connecticut,0
Delaware,0
Florida,1
Georgia,0
Hawaii,0
Iowa,1
Idaho,0
Illinois,1
Indiana,1
Kansas,0
Kentucky,1
Louisiana,1
Maine,0
Maryland,1
Massachusetts,0
Michigan,1
Minnesota,1
Missouri,1
Mississippi,0
Montana,1
North Carolina,1
North Dakota,0
Nebraska,1
New Hampshire,0
New Jersey,1
New Mexico,0
Nevada,1
New York,1
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,1
Rhode Island,0
South Carolina,1
South Dakota,1
Tennessee,1
Texas,1
Utah,0
Virginia,1
Vermont,0
Washington,1
Wisconsin,1
West Virginia,0
Wyoming,1
